,Date,D-14,D-13,D-12,D-11,D-10,D-09,D-08,D-07,D-06,D-05,D-04,D-03,D-02,D-01
0,2020-11-01,2.22985200412446,1.1793599203712855,0.6559906546537263,0.18750151397243434,0.019482227653097695,-0.22105348677099657,-0.2952742121156325,-0.28772208122751025,-0.27762637056933853,-0.2170437412936029,-0.1788547439564019,-0.146715556040256,-0.011574757497049648,-0.09968480551702381
1,2020-11-02,0.5621914324537208,0.40691061035987874,0.23787885330066447,0.03951112731328131,-0.23022648693008096,-0.3177843014309419,-0.3194742169058025,-0.31949089563309035,-0.25008900502326076,-0.20366665720280822,-0.16659744822370287,-0.03500950299704497,-0.03018603187051928,-0.024252091054645323
2,2020-11-03,0.3884931179970569,0.24768906349026856,0.08004435785039667,-0.2252761134971682,-0.330142745500398,-0.3426448549739236,-0.35636315383736716,-0.27706700643637633,-0.22071985523489498,-0.17723927505405768,-0.019827203807586097,-0.04103513595408715,-0.058400932988207026,-0.01881906424211766
3,2020-11-04,0.2537611850588214,0.06728953316749131,-0.20923410017925803,-0.33766382538534806,-0.3632249367670441,-0.3926396520672022,-0.3032742998408586,-0.23634918979498198,-0.18595836502846497,-0.0007963717855724104,-0.02752012639990552,-0.015801350369264895,-0.009513513533476507,0.0418635237275373
4,2020-11-05,-0.06256030105413005,-0.3164752041886477,-0.3605897269413564,-0.40125728483861006,-0.4484894570640125,-0.35043283026961003,-0.2739396545625537,-0.21761216717525828,-0.0083533234551899,-0.04058663648105391,-0.033096730249914746,-0.04694426152246179,0.012444302839977241,0.02740256779640703
5,2020-11-06,-0.47973153873699653,-0.41947193262035065,-0.4133309304487001,-0.4845054932222487,-0.3715450324095489,-0.2807488259682792,-0.21486673396312236,0.03537053136020554,-0.005778743501049748,-0.003958398948306412,-0.02223782450752058,0.03940720158604603,0.07285601036931982,0.05478773427720905
6,2020-11-07,-0.4617962307796088,-0.4947581349956404,-0.5929856396629922,-0.47824749428141705,-0.3828787444774263,-0.3141482734056259,-0.04863409430896247,-0.09524000668515926,-0.10075444460562846,-0.12271124746271686,-0.05843506804906594,-0.03536858869789029,-0.03213835237684313,-0.06638676061633003
7,2020-11-08,-0.5475118225167527,-0.6805880236345814,-0.5117510595384667,-0.3978742628876377,-0.31564914931801435,0.0062883663021375494,-0.053944347247690524,-0.06918600416702905,-0.09904606543277444,-0.022676359073907058,0.004312205148632088,0.014934268752453786,-0.015146306972324896,0.02741561988630937
8,2020-11-09,-0.8602551684650468,-0.5347082168952877,-0.4041517712049503,-0.3045765523850361,0.09550394302367218,0.01588447960444561,-0.01369492149061237,-0.05537369875638588,0.036540810869626315,0.06897219575732728,0.08661978873563073,0.05445909629074855,0.07606140893420034,0.0660959575838458
9,2020-11-10,-0.34830049323727746,-0.34362591947687876,-0.3353820712308114,0.13975865910542928,0.03901938132152079,-0.009135482112967226,-0.06493888191445552,0.039288717676311896,0.07665928836957306,0.10301797417986588,0.06657662139645919,0.09861060974852207,0.09843199895313556,0.005364380044510944
10,2020-11-11,-0.38565764477652326,-0.3776325263990956,0.18097059805431964,0.05390293657160157,-0.01897342413428226,-0.093590513789581,0.02161984981532945,0.06439933143568233,0.10069190946095719,0.0623536025532196,0.10269204125074906,0.08078062752209322,0.004869086856974754,-0.02917151678291595
11,2020-11-12,-0.3680902770098078,0.5126880292559517,0.18424784690419443,0.06599656563637395,-0.04652111355352606,0.0908845289214506,0.142926341473099,0.19672124974964156,0.1554491351127688,0.2101189778407168,0.17160502252507057,0.09509821408148904,0.011659171835404684,0.02136491854526426
12,2020-11-13,1.5436157934833425,0.46743753269057065,0.14068411945747955,-0.027997923421608756,0.13025090818777227,0.1917712326923162,0.2691201723915447,0.22892064954231658,0.2990756986559515,0.23673613462225948,0.12893197294868605,0.04083827311796679,0.02271709903701067,0.009320274582815431
13,2020-11-14,-0.25722689858951203,-0.13859241705793457,-0.005533076901749612,0.17871664497099396,0.2557453973224303,0.3676297041804382,0.33108463775095004,0.4203691308009127,0.32081416549350583,0.17105208340254613,0.05222504408423644,0.028677710454078693,0.020455284979161683,-0.0032347088406885403
